Unnamed: 0,person,text,type,book,ms,city,shelfmark,folia,date
25,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Oxford, Bodleian Library 413 (SC. 2309), f. 1-176, saec. xii. (C)",Oxford, Bodleian Library 413 (SC. 2309),1-176,xii
26,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Oxford, Bodleian Library Rawlinson C. 669, f. 1-100, saec. xii. (C)",Oxford, Bodleian Library Rawlinson C. 669,1-100,xii
27,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Oxford, Jesus College 42, f. 1-72, saec. xiii. (C)",Oxford, Jesus College 42,1-72,xiii
28,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Paris, Bibliothèque de l'Arsenal 390 (581 X.T.L.), f. 1-80, saec. xii. (C)",Paris, Bibliothèque de l'Arsenal 390 (581 X.T.L.),1-80,xii
29,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Paris, Bibliothèque nationale de France lat. 1707, f. 48v-131v, saec. xii. (C)",Paris, Bibliothèque nationale de France lat. 1707,48v-131v,xii
30,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Paris, Bibliothèque nationale de France lat. 2871, f. 1-121, saec. xii. (C)",Paris, Bibliothèque nationale de France lat. 2871,1-121,xii
31,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Paris, Bibliothèque nationale de France lat. 17442, saec. xii. (C)",Paris, Bibliothèque nationale de France lat. 17442,,xii
32,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Rouen, Bibliothèque municipale 504 (A 304), f. 1-84, saec. Xiii; Rouen, St.-Ouen. (C)",Rouen, Bibliothèque municipale 504 (A 304),1-84,xiii
33,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Seville, Biblioteca Capitular y Colombina 5-6-5. f. 2r-222v. Adalbertus diaconus, Speculum Gregorii. (S)",Seville, Biblioteca Capitular y Colombina 5-6-5. f. 2r-222v. Adalbertus diaconus,2r-222v,unknown
34,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Soissons, Bibliothèque municipale 139, f. 2-96v, saec. xii. (C)",Soissons, Bibliothèque municipale 139,2-96v,xii
35,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Troyes, Bibliothèque municipale 463, f. 1-129, saec. xii. (C)",Troyes, Bibliothèque municipale 463,1-129,xii
36,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Vatican, Biblioteca Apostolica Barb. Lat. 500, f. 1-87, saec. xiii. (C)",Vatican, Biblioteca Apostolica Barb. Lat. 500,1-87,xiii
37,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Admont, Stiftsbibliothek 400, f. 109r-118v, saec. xii ex.*",Admont, Stiftsbibliothek 400,109r-118v,xii ex
38,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Bologna, Biblioteca Universitaria 1366 (2610), f. 117r-126r. San Salvatore, saec. xv. *",Bologna, Biblioteca Universitaria 1366 (2610),117r-126r,xv
39,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Brussels, Bibliothèque Royale II.1053 (V. d. G. 67; Phillips 4630), f. 139v-145r, 2v-3r, saec. xi; St. Maria d'Alna.*",Brussels, Bibliothèque Royale II.1053 (V. d. G. 67; Phillips 4630),"139v-145r, 2v-3r",xi
40,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Cologne, Hististorisches Archiv. Hss-Fragm. B 29, f. 1r-v, saec. xii. (C)",Cologne, Hististorisches Archiv. Hss-Fragm. B 29,1r-v,xii
41,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Epinal, Bibliothèque municipale 74, f. 107r-119r, saec. x. Moyenmoutier. (C,L)*",Epinal, Bibliothèque municipale 74,107r-119r,x
42,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Gent, Bibliotheek der Rijksuniversiteit 249 (155), 35v-45r, saec. x; Trier, St. Maximin. (C)*",Gent, Bibliotheek der Rijksuniversiteit 249 (155),,x
43,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Orléans, Bibliothèque municipale 182 (159), p. 273, saec. xi. Fragment. (C,L) *",Orléans, Bibliothèque municipale 182 (159),273,xi
44,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Paris, Bibliothèque nationale de France lat. 3702, f. 146r-161v, saec. xii. Incomplete. (C,L,S)*",Paris, Bibliothèque nationale de France lat. 3702,146r-161v,xii
45,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Paris, Bibliothèque nationale de France lat. 14801, f. 33r-41v, saec. xii. St. Victor. (C,L,S) *",Paris, Bibliothèque nationale de France lat. 14801,33r-41v,xii
46,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Reims, Bibliothèque municipale 395 (E 278), f. 123r-128v, saec. xii. (C) *",Reims, Bibliothèque municipale 395 (E 278),123r-128v,xii
47,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Rome, Biblioteca Vallicelliana C 36, f. 36rb-40vb, saec. xii. Follows Remigius and Bruno of Segni on Genesis. *",Rome, Biblioteca Vallicelliana C 36,36rb-40vb,xii
48,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Rouen, Bibliothèque municipale 1377 (U.108), ff. 83v-89v, saec. xex-xi (Cat. gén. ix). Jumièges. With Haimo of Auxerre on Genesis (Stegmüller 7194). (C,L,S)*",Rouen, Bibliothèque municipale 1377 (U.108),83v-89v,xex-xi
49,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Rouen, Bibliothèque municipale 1470 (O.32), f. 126v-137r, saec. xex-xi. Fécamp. Precedes Haimo of Auxerre on Genesis (Stegmüller 7194). (C,L) *",Rouen, Bibliothèque municipale 1470 (O.32),Precedes Haimo o Auxerre on Genesis (Stegmüller 7194),xex-xi
50,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Troyes, Bibliothèque municipale 804, f. 69r-75r, saec. ix-x. Oratory of Troyes. Attributed to Adrevald in MS. (C,L,S) *",Troyes, Bibliothèque municipale 804,69r-75r,ix-x
51,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Vienna, Österreichische Nationalbibliothek lat. 956, f. 84rb-94va, saec. xi. Attributed to Hrabanus in MS. (C,L,S) *",Vienna, Österreichische Nationalbibliothek lat. 956,84rb-94va,xi
52,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Wolfenbüttel, Herzog-August-Bibliothek Helmst. 672, f. 50r-54v, saec. xiii. (C)",Wolfenbüttel, Herzog-August-Bibliothek Helmst. 672,50r-54v,xiii
53,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Zwettl, Stiftsbibliothek 126, f. 61v-62v, saec. xii. Incomplete.*",Zwettl, Stiftsbibliothek 126,61v-62v,xii
54,Adrevald,Benedictiones de fillis Iacob,Benedictiones,Fillis Jacob,"Zwettl, Stiftsbibliothek 359, f. 80r-93v, saec. xii. (C) *",Zwettl, Stiftsbibliothek 359,80r-93v,xii
55,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Admont, Stiftsbibliothek 779, f. 74-79, saec. xiii. (V)",Admont, Stiftsbibliothek 779,74-79,xiii
56,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Basel, UniversitätBibliothek A.VI.37, f. 114-115v, saec. xiv-xv. .",Basel, UniversitätBibliothek A.VI.37,114-115v,xiv-xv
57,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Châlons-sur-Marne, Bibliothèque municipale 31 (33), f. 36v-42. (S,V)",Châlons-sur-Marne, Bibliothèque municipale 31 (33),36v-42,unknown
58,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Dublin, Trinity College 509 (E.5.9.), f. 27-30, saec. xv. (V).",Dublin, Trinity College 509 (E.5.9.),27-30,xv
59,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Heiligenkreuz, Stiftsbibliothek 198, f. 119-121, saec. xii.",Heiligenkreuz, Stiftsbibliothek 198,119-121,xii
60,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Lyon, Bibliothèque municipale 620, f. 110v, saec. xi; Saint-Pierre-aux-Monts. (V)",Lyon, Bibliothèque municipale 620,110v,xi
61,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Madrid, El Escorial, Real Bibliotheca G.II.15, f. 85v-86v, saec. xiii.",Madrid, El Escorial,85v-86v,xiii
62,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Munich, Bayerische Staatsbibliothek clm 14721, f. 76v, saec. xiii; Saint-Emmeram.",Munich, Bayerische Staatsbibliothek clm 14721,76v,xiii
63,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Oxford, Bodleian Library 365, f. 8, saec. xiii.",Oxford, Bodleian Library 365,8,xiii
64,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Oxford, Bodleian Library Can. script. Eccl. Lat. 39, f. 138-139v, saec. xi. (V)",Oxford, Bodleian Library Can. script. Eccl. Lat. 39,138-139v,xi
65,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Oxford, Bodleian Library Digby 88, f. 92-93v, saec. xv.",Oxford, Bodleian Library Digby 88,92-93v,xv
66,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Padova, Bibliotheca Antoniana 473, f. 158-161v, saec. xi.",Padova, Bibliotheca Antoniana 473,158-161v,xi
67,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 2144, f. 98rb-99va, saec. xii; Limoges, Saint-Martial.",Paris, Bibliothèque nationale de France lat. 2144,98rb-99va,xii
68,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 2462, f. 208-211v, saec. xii-xiii.",Paris, Bibliothèque nationale de France lat. 2462,208-211v,xii-xiii
69,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 3238, f. 91v-92, saec. xiii.",Paris, Bibliothèque nationale de France lat. 3238,91v-92,xiii
70,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 3454, f. 1-2, saec. xi.",Paris, Bibliothèque nationale de France lat. 3454,1-2,xi
71,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 5613, f. 27v-30v, saec. xiv. (S,V)",Paris, Bibliothèque nationale de France lat. 5613,27v-30v,xiv
72,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 5997, f. 94v-96v, saec. xiii. (S)",Paris, Bibliothèque nationale de France lat. 5997,94v-96v,xiii
73,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Paris, Bibliothèque nationale de France n.a.l. 664, f. 126v-132v, saec. xv.",Paris, Bibliothèque nationale de France n.a.l. 664,126v-132v,xv
74,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Prague, Knihovna Metropolitní Kapituli O.XLV, f. 83-85v, saec. xiv.",Prague, Knihovna Metropolitní Kapituli O.XLV,83-85v,xiv
75,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Troyes, Bibliothèque municipale 290, II, f. 52r2a-54vb, saec. xii; Troyes, Saint-Etienne.",Troyes, Bibliothèque municipale 290,52r2a-54vb,xii
76,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Vatican, Biblioteca Apostolica lat. 1783, f. 162v-166, saec. xi. (S)",Vatican, Biblioteca Apostolica lat. 1783,162v-166,xi
77,Adso,Descriptio Cuiusdam Sapientis de Antichristo,General,Antichrist,"Vatican, Biblioteca Apostolica Reg. lat. 571, f. 7v-10, saec. xii.",Vatican, Biblioteca Apostolica Reg. lat. 571,7v-10,xii
78,Adso,De ortu et tempore Antichristi,General,Antichrist,"Brussels, Bibliothèque Royale 5194-96, f. 100-101v, saec. xiii. (C,V)",Brussels, Bibliothèque Royale 5194-96,100-101v,xiii
79,Adso,De ortu et tempore Antichristi,General,Antichrist,"Budapest, Országos Széchenyi Könyvtar 81, f. 158-161. 1388. (C,V)",Budapest, Országos Széchenyi Könyvtar 81,158-161,unknown
80,Adso,De ortu et tempore Antichristi,General,Antichrist,"Cambridge, Corpus Christi College 190, p. 281-291. xi1; Exeter. (C,V)",Cambridge, Corpus Christi College 190,281-291,unknown
81,Adso,De ortu et tempore Antichristi,General,Antichrist,"Cambridge, Emmanuel College 27, f. 118v-119v, saec. xiii. (C,V)",Cambridge, Emmanuel College 27,118v-119v,xiii
82,Adso,De ortu et tempore Antichristi,General,Antichrist,"Cambridge, Pembroke College 103, f. 69v-72v, saec. xii-xiii; Reading, Ste-Trinité. (C,V)",Cambridge, Pembroke College 103,69v-72v,xii-xiii
83,Adso,De ortu et tempore Antichristi,General,Antichrist,"Erlangen, Universitätsbibliothek 176, f. 51v-53v, saec. xii; Heilsbron. (C,V)",Erlangen, Universitätsbibliothek 176,51v-53v,xii
84,Adso,De ortu et tempore Antichristi,General,Antichrist,"London, British Library Harley 483, f. 258-267. 1646; John Retchford. (C,V)",London, British Library Harley 483,258-267,unknown
85,Adso,De ortu et tempore Antichristi,General,Antichrist,"London, British Library Harley 1294, f. 39rb-40vb, saec. xiii. (C,V)",London, British Library Harley 1294,39rb-40vb,xiii
86,Adso,De ortu et tempore Antichristi,General,Antichrist,"London, British Library Royal 6.A.XI, f.146v-149, saec. xii; Rochester. (C,V)",London, British Library Royal 6.A.XI,146v-149,xii
87,Adso,De ortu et tempore Antichristi,General,Antichrist,"London, British Library Royal 8.F.VIII, f. 118v-119v, saec. xiii. (C,V)",London, British Library Royal 8.F.VIII,118v-119v,xiii
88,Adso,De ortu et tempore Antichristi,General,Antichrist,"Metz, Bibliothèque municipale 1212, p. 356-360, saec. xii. (C,V)",Metz, Bibliothèque municipale 1212,356-360,xii
89,Adso,De ortu et tempore Antichristi,General,Antichrist,"Naples, Biblioteca Nazionale VII C 43, f. 81 v-86v, saec. xi-xii. (C)",Naples, Biblioteca Nazionale VII C 43,81 v-86v,xi-xii
90,Adso,De ortu et tempore Antichristi,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 1750, f. 155v-157r, saec. xv. (C)",Paris, Bibliothèque nationale de France lat. 1750,155v-157r,xv
91,Adso,De ortu et tempore Antichristi,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 3701, f. 234-240v, saec. xii. (C,V)",Paris, Bibliothèque nationale de France lat. 3701,234-240v,xii
92,Adso,De ortu et tempore Antichristi,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 5390, f. 230v-233, saec. xi. Fécamp, Ste.-Trinité. 235 ff. (C,S,V)",Paris, Bibliothèque nationale de France lat. 5390,230v-233,xi
93,Adso,De ortu et tempore Antichristi,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 8625, f. 34v, saec. xii. (C,V)",Paris, Bibliothèque nationale de France lat. 8625,34v,xii
94,Adso,De ortu et tempore Antichristi,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 14575, f. 276-277v, saec. xv; Paris, St. Victor. (C,V)",Paris, Bibliothèque nationale de France lat. 14575,276-277v,xv
95,Adso,De ortu et tempore Antichristi,General,Antichrist,"Paris, Bibliothèque nationale de France lat. 16460, f. 125v-127v, saec. xii; Sorbonne. (C,V)",Paris, Bibliothèque nationale de France lat. 16460,125v-127v,xii
96,Adso,De ortu et tempore Antichristi,General,Antichrist,"Prague, Universitni Knihovna X.A.7, f. 285-285vb.saec. xiv. (C,V)",Prague, Universitni Knihovna X.A.7,285-285vb,xiv
97,Adso,De ortu et tempore Antichristi,General,Antichrist,"Rein, Stiftsbibliothek 40, f. 118v-123v, saec. xii ex. (C,V)",Rein, Stiftsbibliothek 40,118v-123v,xii ex
98,Adso,De ortu et tempore Antichristi,General,Antichrist,"Rouen, Bibliothèque municipale 262 (A2.95), f. 245-246, saec. xii; Jumièges. (C,V)",Rouen, Bibliothèque municipale 262 (A2.95),245-246,xii
99,Adso,De ortu et tempore Antichristi,General,Antichrist,"Saint-Omer, Bibliothèque municipale 710, f. 104v-105v, saec. xiii. (C,V)",Saint-Omer, Bibliothèque municipale 710,104v-105v,xiii
100,Adso,De ortu et tempore Antichristi,General,Antichrist,"Vatican, Biblioteca Apostolica lat. 3816, f. 58-59v, saec. xv. (C,V)",Vatican, Biblioteca Apostolica lat. 3816,58-59v,xv
101,Adso,De ortu et tempore Antichristi,General,Antichrist,"Vatican, Biblioteca Apostolica Reg. Lat. 568, f. 85-87, saec. xiii. (C,V)",Vatican, Biblioteca Apostolica Reg. Lat. 568,85-87,xiii
102,Adso,De ortu et tempore Antichristi,General,Antichrist,"Vatican, Biblioteca Apostolica Reg. Lat. 631, f. 74v-76v, saec. xii. (C)",Vatican, Biblioteca Apostolica Reg. Lat. 631,74v-76v,xii
103,Adso,De ortu et tempore Antichristi,General,Antichrist,"Vienna, Österreichische Nationalbibliothek 1026, f. 84v-86, saec. xiv. (C,V)",Vienna, Österreichische Nationalbibliothek 1026,84v-86,xiv
104,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Angers, Bibliothèque municipale 234 (225), f. 125v-130, saec. ix. P: St. Aubin.*",Angers, Bibliothèque municipale 234 (225),125v-130,ix
105,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Bamberg, Staatsbibliothek Lit. 169, f. 74-117. 1465. (S)",Bamberg, Staatsbibliothek Lit. 169,74-117,unknown
106,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Bologna, Collegio di Spagna 17, f. 75v-88v, saec. xii.",Bologna, Collegio di Spagna 17,75v-88v,xii
107,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Cambridge, Trinity College 146 (B.4.32) , f. 122r-153v, saec. xii-xiii. Wardon. With Bede on",Cambridge, Trinity College 146 (B.4.32) ,122r-153v,xii-xiii
108,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Chambéry, Bibliothèque municipale 29, f. 94-111, saec. xiii ex. ;",Chambéry, Bibliothèque municipale 29,94-111,xiii ex
109,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Chartres, Bibliothèque municipale 113, f. 1-67v, saec. ix.]",Chartres, Bibliothèque municipale 113,1-67v,ix
110,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Darmstadt, Hessische Landes- und Hochschulbibliothek 756, f. 23v-29. Before 866; W. Germany. Copy of Clm 13581.",Darmstadt, Hessische Landes- und Hochschulbibliothek 756,23v-29,unknown
111,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Düsseldorf, Landes- Universitätsbibliothek B.3, f. 25r-83v. c. 820. (S)",Düsseldorf, Landes- Universitätsbibliothek B.3,25r-83v,unknown
112,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Einsiedeln, Stiftsbibliothek 60 (580; 4. Nr. 88), pp. 1-85, saec. ix2/3. (S)",Einsiedeln, Stiftsbibliothek 60 (580; 4. Nr. 88),1-85,ix2/3
113,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Engelberg, Stiftsbibliothek 263, f. 1-17, saec. xiv.",Engelberg, Stiftsbibliothek 263,1-17,xiv
114,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Florence, Biblioteca Medicea Laurenziana, Ashburnham 27.-6, f. 52v-76, saec. xii.",Florence, Biblioteca Medicea Laurenziana,52v-76,xii
115,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Heiligenkreuz, Stiftsbibliothek 212, f. 91-135, saec. xii. (S)",Heiligenkreuz, Stiftsbibliothek 212,91-135,xii
116,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Karlsruhe, Landesbibliothek Aug. Perg. ccv, f. 1r-54r, saec. x ex. P: Reichenau. (S) *",Karlsruhe, Landesbibliothek Aug. Perg. ccv,1r-54r,x ex
117,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Lilienfeld, Stiftsbibliothek 101, f. 95v-124, saec. xiv.",Lilienfeld, Stiftsbibliothek 101,95v-124,xiv
118,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Lilienfeld, Stiftsbibliothek 132, f. 142-180, saec. xiv.",Lilienfeld, Stiftsbibliothek 132,142-180,xiv
119,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Ljubljana, Nadškofijski Arhiv Fasc. 2 (or 1), Sign. 5 (Ms. 2. Kos 90), f. 40ra-58vb, saec. xiv1/2;",Ljubljana, Nadškofijski Arhiv Fasc. 2 (or 1),40ra-58vb,xiv1/2
120,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"London, British Library Royal 8.E.xvi, f. 1-24v, saec. xiii inc. (S)  Angelomus??",London, British Library Royal 8.E.xvi,1-24v,xiii inc
121,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"London, Lambeth Palace 148, f. 120-150v, saec. xii.",London, Lambeth Palace 148,120-150v,xii
122,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Marseille, Bibliothèque municipale 228, f. 146v-168, saec. xiii.",Marseille, Bibliothèque municipale 228,146v-168,xiii
123,Alcuin,Interrogationes et responsiones in Genesim,Questions,Genesis,"Mons, Bibliothèque de la Ville 43/219, f. 99r-133v, saec. ix4/4. Bonne Espérance. (S)",Mons, Bibliothèque de la Ville 43/219,99r-133v,ix4/4
